iter	Passed	Remaining
0	137	137562
1	138	69248
2	139	46410
3	140	34940
4	140	28048
5	141	23453
6	142	20181
7	142	17729
8	143	15810
9	144	14304
10	145	13089
11	146	12041
12	146	11154
13	147	10394
14	148	9734
15	148	9154
16	149	8643
17	150	8200
18	151	7815
19	152	7448
20	152	7114
21	153	6810
22	153	6532
23	154	6277
24	154	6043
25	155	5833
26	156	5641
27	157	5456
28	157	5285
29	158	5125
30	159	4975
31	159	4835
32	160	4703
33	161	4578
34	162	4472
35	162	4363
36	163	4257
37	164	4161
38	165	4067
39	165	3977
40	166	3891
41	167	3810
42	167	3738
43	168	3664
44	169	3592
45	169	3524
46	170	3458
47	171	3394
48	171	3333
49	172	3275
50	173	3219
51	173	3168
52	174	3123
53	175	3078
54	176	3030
55	177	2983
56	177	2938
57	178	2893
58	178	2852
59	180	2829
60	181	2792
61	182	2756
62	183	2722
63	183	2687
64	184	2653
65	185	2619
66	186	2594
67	187	2563
68	187	2532
69	188	2501
70	189	2475
71	189	2446
72	190	2417
73	191	2391
74	191	2366
75	192	2340
76	194	2330
77	195	2308
78	196	2286
79	197	2266
80	198	2252
81	199	2230
82	199	2204
83	200	2183
84	201	2164
85	202	2152
86	203	2131
87	204	2119
88	205	2103
89	206	2085
90	207	2068
91	207	2050
92	208	2032
93	209	2016
94	211	2018
95	212	2001
96	213	1984
97	213	1969
98	214	1954
99	215	1938
100	217	1933
101	217	1919
102	218	1904
103	219	1889
104	219	1875
105	220	1860
106	221	1846
107	222	1835
108	223	1823
109	223	1810
110	224	1796
111	224	1783
112	225	1770
113	226	1758
114	227	1747
115	227	1735
116	228	1724
117	229	1713
118	229	1702
119	230	1691
120	231	1680
121	231	1668
122	232	1657
123	233	1647
124	234	1638
125	235	1630
126	235	1620
127	236	1610
128	237	1601
129	237	1592
130	238	1582
131	239	1573
132	240	1565
133	241	1559
134	242	1551
135	242	1542
136	243	1533
137	244	1525
138	244	1517
139	245	1508
140	246	1500
141	248	1502
142	249	1495
143	250	1487
144	250	1479
145	251	1471
146	252	1464
147	254	1462
148	254	1455
149	255	1448
150	256	1440
151	256	1433
152	257	1426
153	258	1419
154	259	1414
155	261	1412
156	261	1406
157	262	1399
158	263	1391
159	263	1384
160	264	1376
161	264	1369
162	265	1364
163	267	1361
164	267	1354
165	268	1348
166	268	1341
167	269	1335
168	270	1328
169	270	1322
170	271	1317
171	272	1313
172	273	1307
173	274	1301
174	274	1295
175	275	1288
176	275	1282
177	276	1276
178	277	1270
179	278	1266
180	279	1262
181	279	1256
182	280	1251
183	280	1245
184	281	1240
185	282	1234
186	282	1229
187	283	1223
188	284	1219
189	285	1216
190	286	1211
191	286	1206
192	287	1201
193	287	1196
194	288	1192
195	289	1187
196	291	1188
197	292	1184
198	293	1179
199	293	1175
200	294	1170
201	295	1165
202	295	1161
203	296	1156
204	297	1154
205	298	1149
206	298	1145
207	299	1140
208	300	1136
209	300	1131
210	301	1127
211	302	1122
212	302	1119
213	303	1115
214	304	1110
215	304	1106
216	305	1102
217	306	1097
218	306	1093
219	307	1088
220	307	1084
221	308	1080
222	309	1078
223	310	1074
224	310	1070
225	311	1066
226	312	1062
227	312	1059
228	313	1055
229	314	1051
230	314	1047
231	316	1048
232	317	1045
233	318	1041
234	318	1038
235	319	1034
236	320	1031
237	321	1028
238	322	1027
239	323	1024
240	324	1021
241	325	1018
242	325	1014
243	326	1011
244	327	1007
245	327	1004
246	329	1003
247	329	1000
248	330	996
249	331	993
250	331	989
251	332	986
252	332	983
253	333	979
254	334	978
255	335	975
256	336	972
257	336	969
258	337	965
259	338	962
260	338	959
261	339	956
262	340	953
263	341	951
264	341	947
265	342	944
266	342	941
267	343	938
268	344	934
